,accession#,sentences,num_chars
3095,0001193125-14-289826,financials sector risk .,24
3096,0001193125-14-289826,"performance of companies in the financials sector may be adversely impacted by many factors, including, among others, government regulations, economic conditions, credit rating downgrades, changes in interest rates, and decreased liquidity in credit markets.",258
3097,0001193125-14-289826,"this sector has experienced significant losses in the recent past, and the impact of more stringent capital requirements and of recent or future regulation on any individual financial company or on the sector as a whole cannot be predicted.",240
3098,0001193125-14-289826,healthcare sector risk .,24
3099,0001193125-14-289826,"the healthcare sector may be affected by government regulations and government healthcare programs, increases or decreases in the cost of medical products and services and product liability claims, among other factors.",218
3100,0001193125-14-289826,"many healthcare companies are heavily dependent on s-3 patent protection, and the expiration of a companys patent may adversely affect that companys profitability.",163
3101,0001193125-14-289826,"healthcare companies are subject to competitive forces that may result in price discounting, and may be thinly capitalized and susceptible to product obsolescence.",163
3102,0001193125-14-289826,index-related risk.,19
3103,0001193125-14-289826,there is no guarantee that the fund will achieve a high degree of correlation to the underlying index and therefore achieve its investment objective.,149
3104,0001193125-14-289826,market disruptions and regulatory restrictions could have an adverse effect on the funds ability to adjust its exposure to the required levels in order to track the underlying index.,182
3105,0001193125-14-289826,"errors in the construction of the underlying index in accordance with its methodology may occur from time to time and may not be identified and corrected by the index provider for a period of time, and may have an adverse impact on the fund and its shareholders.",262
3106,0001193125-14-289826,issuer risk .,13
3107,0001193125-14-289826,fund performance depends on the performance of individual securities to which the fund has exposure.,100
3108,0001193125-14-289826,changes in the financial condition or credit rating of an issuer of those securities may cause the value of the securities to decline.,134
3109,0001193125-14-289826,management risk .,17
3110,0001193125-14-289826,"as the fund may not fully replicate the underlying index, it is subject to the risk that bfa's investment strategy may not produce the intended results.",152
3111,0001193125-14-289826,market risk .,13
3112,0001193125-14-289826,the fund could lose money over short periods due to short-term market movements and over longer periods during market downturns.,128
3113,0001193125-14-289826,market trading risk .,21
3114,0001193125-14-289826,"the fund faces numerous market trading risks, including the potential lack of an active market for fund shares, losses from trading in secondary markets, periods of high volatility and disruption in the creation/redemption process of the fund.",243
3115,0001193125-14-289826,"any of these factors, among others, may lead to the fund's shares trading at a premium or discount to nav.",106
3116,0001193125-14-289826,passive investment risk .,25
3117,0001193125-14-289826,"the fund is not actively managed and bfa does not attempt to take defensive positions under any market conditions, including declining markets.",143
3118,0001193125-14-289826,risk of investing in the united states .,40
3119,0001193125-14-289826,the fund has significant exposure to u.s. issuers.,50
3120,0001193125-14-289826,"certain changes in the u.s. economy, such as when the u.s. economy weakens or when its financial markets decline, may have an adverse effect on the securities to which the fund has exposure.",190
3121,0001193125-14-289826,securities lending risk.,24
3122,0001193125-14-289826,the fund may engage in securities lending.,42
3123,0001193125-14-289826,securities lending involves the risk that the fund may lose money because the borrower of the loaned securities fails to return the securities in a timely manner or at all.,172
3124,0001193125-14-289826,the fund could also lose money in the event of a decline in the value of the collateral provided for loaned securities or a decline in the value of any investments made with cash collateral.,190
3125,0001193125-14-289826,these events could also trigger adverse tax consequences for the fund.,70
3126,0001193125-14-289826,technology sector risk .,24
3127,0001193125-14-289826,"technology companies may have limited product lines, markets, financial resources or personnel.",95
3128,0001193125-14-289826,technology companies typically face intense competition and potentially rapid product obsolescence.,99
3129,0001193125-14-289826,they are also heavily dependent on intellectual property rights and may be adversely affected by loss or impairment of those rights.,132
3130,0001193125-14-289826,s-4 tracking error risk .,25
3131,0001193125-14-289826,tracking error is the divergence of the funds performance from that of the underlying index.,92
3132,0001193125-14-289826,"tracking error may occur because of differences between the securities held in the funds portfolio and those included in the underlying index, pricing differences, transaction costs, the funds holding of cash, differences in timing of the accrual of dividends, changes to the underlying index or the need to meet various new or existing regulatory requirements.",361
3133,0001193125-14-289826,this risk may be heightened during times of increased market volatility or other unusual market conditions.,107
3134,0001193125-14-289826,"tracking error also may result because the fund incurs fees and expenses, while the underlying index does not.",110
3135,0000005138-16-000047,"of investing in the fund, 4 purchase and sale of fund shares, 6 risk return summary, 3 risk/return",98
3136,0001193125-13-191391,of investing in the portfolio there can be no assurance that the portfolios investment goal will be met or that the net return on an investment in the portfolio will exceed what could have been obtained through other investment or savings vehicles.,248
3137,0001193125-13-191391,"shares of the portfolio are not bank deposits and are not guaranteed or insured by any bank, government entity or the federal deposit insurance corporation.",156
3138,0001193125-13-191391,"as with any mutual fund, there is no guarantee that the portfolio will be able to achieve its investment goals.",111
3139,0001193125-13-191391,"if the value of the assets of the portfolio goes down, you could lose money.",76
3140,0001193125-13-191391,the following is a summary description of the principal risks of investing in the portfolio.,92
3141,0001193125-13-191391,equity securities risk.,23
3142,0001193125-13-191391,the portfolio invests principally in equity securities and is therefore subject to the risk that stock prices will fall and may underperform other asset classes.,161
3143,0001193125-13-191391,individual stock prices fluctuate from day-to-day and may decline significantly.,80
3144,0001193125-13-191391,"the prices of individual stocks may be negatively affected by poor company results or other factors affecting individual prices, as well as industry and/or economic trends and developments affecting industries or the securities market as a whole.",246
3145,0001193125-13-191391,value investing risk.,21
3146,0001193125-13-191391,the subadvisers judgments that a particular security is undervalued in relation to the companys fundamental economic value may prove incorrect.,143
3147,0001193125-13-191391,small- and medium-sized companies risk.,39
3148,0001193125-13-191391,securities of small- and medium-sized companies are usually more volatile and entail greater risks than securities of large companies.,134
3149,0001193125-13-191391,convertible securities risk .,29
3150,0001193125-13-191391,"the values of the convertible securities in which the portfolio may invest also will be affected by market interest rates, the risk that the issuer may default on interest or principal payments and the value of the underlying common stock into which these securities may be converted.",284
3151,0001193125-13-191391,"specifically, certain types of convertible securities may pay fixed interest and dividends; their values may fall if market interest rates rise and rise if market interest rates fall.",183
3152,0001193125-13-191391,"additionally, an issuer may have the right to buy back certain of the convertible securities at a time unfavorable to the portfolio.",132
3153,0001193125-13-191391,foreign investment risk.,24
3154,0001193125-13-191391,"the value of your investment may be affected by fluctuating currency values, changing local and regional economic, political and social conditions, and greater market volatility.",178
3155,0001193125-13-191391,"in addition, foreign securities may not be as liquid as domestic securities.",76
3156,0001193125-13-191391,market risk.,12
3157,0001193125-13-191391,"the portfolios share price can fall because of weakness in the broad market, a particular industry, or specific holdings.",121
3158,0001193125-13-191391,"the market as a whole can decline for many reasons, including adverse political or economic developments here or abroad, changes in investor psychology, or heavy institutional selling.",184
3159,0001193125-13-191391,"the prospects for an industry or company may deteriorate because of a variety of factors, including disappointing earnings or changes in the competitive environment.",165
3160,0001193125-13-191391,"in addition, the subadvisers assessment of companies held in the portfolio may prove incorrect, resulting in losses or poor performance even in a rising market.",160
3161,0001193125-13-191391,"finally, the portfolios investment approach could fall out of favor with the investing public, resulting in lagging performance versus other comparable portfolios.",163
3162,0001193125-18-143878,you could lose money by investing in the fund.,46
3163,0001193125-18-143878,"an investment in the fund is subject to investment risks, including possible loss of principal, is not a deposit in a bank and is not insured or guaranteed by the federal deposit insurance corporation or any other government agency.",232
3164,0001193125-18-143878,the fund may not achieve its investment objective.,50
3165,0001193125-18-143878,general risks associated with the fund's investment policies and investment strategies are discussed below.,107
3166,0001193125-18-143878,"because the fund expects to achieve investment exposure through the portfolio, it is subject to substantially all of the risks associated with the portfolio.",157
3167,0001193125-18-143878,"the fund is not intended to be a complete investment program, but rather is intended for investment as part of a diversified investment portfolio.",146
3168,0001193125-18-143878,investors should consult their own advisers as to the role of the fund in their overall investment programs.,108
3169,0001193125-18-143878,"3 in addition, the fund is subject to the following risks: counterparty risk: the fund will be subject to credit risk with respect to the counterparties with which the fund enters into derivatives contracts, repurchase agreements, reverse repurchase agreements, and other transactions.",285
3170,0001193125-18-143878,"if a counterparty fails to meet its contractual obligations, the fund may be unable to terminate or realize any gain on the investment or transaction, or to recover collateral posted to the counterparty, resulting in a loss to the fund.",236
3171,0001193125-18-143878,"if the fund holds collateral posted by its counterparty, it may be delayed or prevented from realizing on the collateral in the event of a bankruptcy or insolvency proceeding relating to the counterparty.",204
3172,0001193125-18-143878,"currency hedging risk: when a derivative is used as a hedge against a position that the fund holds, any gain generated by the derivative generally should be substantially offset by losses on the hedged investment, and vice versa.",229
3173,0001193125-18-143878,"while hedging can reduce or eliminate losses, it can also reduce or eliminate gains.",84
3174,0001193125-18-143878,hedges are sometimes subject to imperfect matching between a derivative and its reference asset.,96
3175,0001193125-18-143878,"for example, because the fund's currency hedge is reset on a monthly basis, based on the size of the fund's exposure to a currency at a certain point in time, the size of each currency hedge could be greater or less than the fund's total exposure in that currency intra-month and currency risk may develop or increase between resets.",333
3176,0001193125-18-143878,"furthermore, while the fund is designed to hedge against currency fluctuations, it is possible that a degree of currency exposure may remain even at the time a hedging transaction is implemented.",195
3177,0001193125-18-143878,"as a result, changes in currency exchange rates may affect fund returns even when the hedge works as intended.",110
3178,0001193125-18-143878,"the effectiveness of the fund's currency hedging strategy will also generally be affected by both the volatility of the securities included in the index, and the volatility of the u.s. dollar relative to the currencies to be hedged.",232
3179,0001193125-18-143878,increased volatility may reduce the effectiveness of the fund's currency hedging strategy and may impact the costs associated with hedging transactions.,152
3180,0001193125-18-143878,the effectiveness of the fund's currency hedging strategy and the costs associated with hedging transactions may also in general be affected by interest rates.,159
3181,0001193125-18-143878,significant differences between u.s. dollar interest rates and foreign currency interest rates may further impact the effectiveness of the fund's currency hedging strategy.,172
3182,0001193125-18-143878,there can be no assurance that the fund's hedging transactions will be effective.,81
3183,0001193125-18-143878,"the fund's currency hedging activities will potentially increase or accelerate distributions to shareholders, increase distributions taxed to individuals as ordinary income, result in the re-characterization of prior ordinary income distributions as return of capital, or generate losses that cannot be used to offset income or capital gain in subsequent years.",361
3184,0001193125-18-143878,"the fund will bear the costs associated with any such hedging transaction, regardless of any gain or loss experienced on the hedging transaction.",145
3185,0001193125-18-143878,"currency risk: despite the fund's currency hedging strategy, the value of the fund's assets may be affected favorably or unfavorably by currency exchange rates, currency exchange control regulations, and restrictions or prohibitions on the repatriation of foreign currencies.",275
3186,0001193125-18-143878,"foreign currency exchange rates may have significant volatility, and changes in the values of foreign currencies against the u.s. dollar may result in substantial declines in the values of the fund's, or the portfolio's, assets denominated in foreign currencies.",262
3187,0001193125-18-143878,"because the fund's, or the portfolio's, net asset values (navs) are determined in u.s. dollars, the fund's nav could decline if the currency of a non-u.s. market in which the fund invests depreciates against the u.s. dollar and the fund's attempt to hedge currency exposure is unsuccessful.",290
3188,0001193125-18-143878,"generally, an increase in the value of the u.s. dollar against a foreign currency will reduce the value of a security denominated in that foreign currency when measured in u.s. dollars, thereby decreasing the fund's overall nav.",228
3189,0001193125-18-143878,"a foreign currency may be affected favorably or unfavorably by currency exchange rates, currency control regulations and restrictions or prohibitions on the repatriation of the foreign currency.",194
3190,0001193125-18-143878,"fluctuations in the exchange values of currencies could affect the economy or particular business operations of companies in a geographic region in which the fund or the portfolio invests, causing an adverse impact on the fund's, or the portfolio's, investments in the affected region and the united states.",307
3191,0001193125-18-143878,"as a result, investors have the potential for losses regardless of the length of time they intend to hold fund shares.",118
3192,0001193125-18-143878,depositary receipts risk: investments in depositary receipts may be less liquid and more volatile than the underlying securities in their primary trading market.,161
3193,0001193125-18-143878,"if a depositary receipt is denominated in a different currency than its underlying securities, the fund will be subject to the currency risk of both the investment in the depositary receipt and the underlying security.",218
3194,0001193125-18-143878,holders of depositary receipts may have limited or no rights to take action with respect to the underlying securities or to compel the issuer of the receipts to take action.,173
3195,0001193125-18-143878,the prices of depositary receipts may differ from the prices of securities upon which they are based.,101
3196,0001193125-18-143878,"to the extent the fund invests in depositary receipts based on securities included in the index, such differences in prices may increase index tracking risk.",157
3197,0001193125-18-143878,derivatives risk: derivative transactions can create investment leverage and may have significant volatility.,109
3198,0001193125-18-143878,"it is possible that a derivative transaction will result in a much greater loss than the principal amount invested, and the fund may not be able to close out a derivative transaction at a favorable time or price.",212
3199,0001193125-18-143878,"the counterparty to a derivatives contract may be unable or unwilling to make timely settlement payments, return the fund's margin, or otherwise honor its obligations.",167
3200,0001193125-18-143878,a derivatives transaction may not behave in the manner anticipated by the adviser or may not have the effect on the fund anticipated by the adviser.,148
3201,0001193125-18-143878,"4 equity investing risk: the market prices of equity securities owned by the fund may go up or down, sometimes rapidly or unpredictably.",136
3202,0001193125-18-143878,the value of a security may decline for a number of reasons that may directly relate to the issuer and also may decline due to general industry or market conditions that are not specifically related to a particular company.,223
3203,0001193125-18-143878,"in addition, equity markets tend to move in cycles, which may cause stock prices to fall over short or extended periods of time.",128
3204,0001193125-18-143878,"financial sector risk: financial services companies are subject to extensive governmental regulation which may limit both the amounts and types of loans and other financial commitments they can make, the interest rates and fees they can charge, the scope of their activities, the prices they can charge and the amount of capital they must maintain.",348
3205,0001193125-18-143878,profitability is largely dependent on the availability and cost of capital funds and can fluctuate significantly when interest rates change or due to increased competition.,172
3206,0001193125-18-143878,"in addition, deterioration of the credit markets generally may cause an adverse impact in a broad range of markets, including u.s. and international credit and interbank money markets generally, thereby affecting a wide range of financial institutions and markets.",264
3207,0001193125-18-143878,"certain events in the financial sector may cause an unusually high degree of volatility in the financial markets, both domestic and foreign, and cause certain financial services companies to incur large losses.",210
3208,0001193125-18-143878,"securities of financial services companies may experience a dramatic decline in value when such companies experience substantial declines in the valuations of their assets, take action to raise capital (such as the issuance of debt or equity securities), or cease operations.",275
3209,0001193125-18-143878,credit losses resulting from financial difficulties of borrowers and financial losses associated with investment activities can negatively impact the sector.,157
3210,0001193125-18-143878,insurance companies may be subject to severe price competition.,63
3211,0001193125-18-143878,"adverse economic, business or political developments could adversely affect financial institutions engaged in mortgage finance or other lending or investing activities directly or indirectly connected to the value of real estate.",229
3212,0001193125-18-143878,"geographic focus risk: the performance of a fund that is less diversified across countries or geographic regions will be closely tied to market, currency, economic, political, environmental, or regulatory conditions and developments in the countries or regions in which the fund invests, and may be more volatile than the performance of a more geographically-diversified fund.",376
3213,0001193125-18-143878,europe: developed and emerging market countries in europe will be significantly affected by the fiscal and monetary controls of the economic and monetary union of the european union (eu).,187
3214,0001193125-18-143878,"changes in regulations on trade, decreasing imports or exports, changes in the exchange rate of the euro and recessions among european countries may have a significant adverse effect on the economies of other european countries.",228
3215,0001193125-18-143878,"in addition, one or more countries may abandon the euro and/or withdraw from the eu.",84
3216,0001193125-18-143878,"for example, in june 2016, citizens of the united kingdom voted in a referendum to leave the eu (known as brexit), creating economic and political uncertainty in its wake.",171
3217,0001193125-18-143878,"in march 2017, the united kingdom formally notified the european council of the united kingdom's intention to withdraw from the eu pursuant to article 50 of the treaty on european union.",186
3218,0001193125-18-143878,this formal notification began a two-year period of negotiations regarding the terms of the united kingdom's exit from the eu.,126
3219,0001193125-18-143878,it is unclear how withdrawal negotiations will be conducted and what the potential consequences may be.,103
3220,0001193125-18-143878,"any exits from the eu, or the possibility of such exits, may have a significant impact on the united kingdom, europe, and global economies, which may result in increased volatility and illiquidity, new legal and regulatory uncertainties and potentially lower economic growth for such economies that could potentially have an adverse effect on the value of the fund's investments.",379
3221,0001193125-18-143878,"in addition, a number of countries in europe have suffered terrorist attacks and additional attacks may occur in the future.",124
3222,0001193125-18-143878,such attacks may cause uncertainty in financial markets and may adversely affect the performance of the issuers to which the fund has exposure.,143
3223,0001193125-18-143878,japan: the growth of japan's economy has historically lagged that of its asian neighbors and other major developed economies.,125
3224,0001193125-18-143878,"the japanese economy is heavily dependent on international trade and has been adversely affected by trade tariffs, other protectionist measures, competition from emerging economies and the economic conditions of its trading partners.",233
3225,0001193125-18-143878,"china has become an important trading partner with japan, yet the countries' political relationship has become strained.",120
3226,0001193125-18-143878,"should political tension increase, it could adversely affect the economy, especially the export sector, and destabilize the region as a whole.",142
3227,0001193125-18-143878,"japan also remains heavily dependent on oil imports, and higher commodity prices could therefore have a negative impact on the economy.",135
3228,0001193125-18-143878,the japanese yen has fluctuated widely at times and any increase in its value may cause a decline in exports that could weaken the japanese economy.,148
3229,0001193125-18-143878,"japan has, in the past, intervened in the currency markets to attempt to maintain or reduce the value of the yen.",113
3230,0001193125-18-143878,japanese intervention in the currency markets could cause the value of the yen to fluctuate sharply and unpredictably and could cause losses to investors.,154
3231,0001193125-18-143878,japan has an aging workforce and has experienced a significant population decline in recent years.,98
3232,0001193125-18-143878,"japan's labor market appears to be undergoing fundamental structural changes, as a labor market traditionally accustomed to lifetime employment adjusts to meet the need for increased labor mobility, which may adversely affect japan's economic competitiveness.",259
3233,0001193125-18-143878,"natural disasters, such as earthquakes, volcanoes, typhoons or tsunamis, could occur in japan or surrounding areas and could negatively affect the japanese economy and, in turn, the fund.",187
3234,0001193125-18-143878,"5 united kingdom: the united kingdom has one of the largest economies in europe, and the united states and other european countries are substantial trading partners of the united kingdom.",187
3235,0001193125-18-143878,"as a result, the british economy may be impacted by changes to the economic condition of the united states and other european countries.",136
3236,0001193125-18-143878,"the british economy, along with certain other eu economies, experienced a significant economic slowdown during the recent financial crisis, and certain british financial institutions suffered significant losses, were severely under-capitalized and required government intervention to survive.",292
3237,0001193125-18-143878,"the british economy relies heavily on the export of financial services to the united states and other european countries and, therefore, a prolonged slowdown in the financial services sector may have a negative impact on the british economy.",241
3238,0001193125-18-143878,continued governmental involvement or control in certain sectors may stifle competition in certain sectors or cause adverse effects on economic growth.,151
3239,0001193125-18-143878,"indexing strategy/index tracking risk: the fund is managed with an indexing investment strategy, attempting to track the performance of an unmanaged index of securities, regardless of the current or projected performance of the index or of the actual securities comprising the index.",283
3240,0001193125-18-143878,"this differs from an actively-managed fund, which typically seeks to outperform a benchmark index.",98
3241,0001193125-18-143878,"as a result, the fund's performance may be less favorable than that of a portfolio managed using an active investment strategy.",127
3242,0001193125-18-143878,"the structure and composition of the index will affect the performance, volatility, and risk of the index and, consequently, the performance, volatility, and risk of the fund.",175
3243,0001193125-18-143878,while the adviser seeks to track the performance of the index ( i.e.,68
3244,0001193125-18-143878,", achieve a high degree of correlation with the index), the fund's return may not match the return of the index.",112
3245,0001193125-18-143878,"the fund incurs a number of operating expenses not applicable to the index, and incurs costs in buying and selling securities.",126
3246,0001193125-18-143878,"in addition, the fund may not be fully invested at times, generally as a result of cash flows into or out of the fund or reserves of cash held by the fund to meet redemptions.",175
3247,0001193125-18-143878,"the adviser may attempt to replicate the index return by investing in fewer than all of the securities in the index, or in some securities not included in the index, potentially increasing the risk of divergence between the fund's return and that of the index.",260
3248,0001193125-18-143878,large-capitalization securities risk: returns on investments in securities of large companies could trail the returns on investments in securities of smaller and mid-sized companies.,182
3249,0001193125-18-143878,"larger companies may be unable to respond as quickly as smaller and mid-sized companies to competitive challenges or to changes in business, product, financial, or other market conditions.",188
3250,0001193125-18-143878,larger companies may not be able to maintain growth at the high rates that may be achieved by well-managed smaller and mid-sized companies.,139
3251,0001193125-18-143878,"large shareholder risk: to the extent a large proportion of the shares of the portfolio are held by a small number of shareholders (or a single shareholder), including funds or accounts over which the adviser has investment discretion, the portfolio is subject to the risk that these shareholders will purchase or redeem portfolio shares in large amounts rapidly or unexpectedly, including as a result of an asset allocation decision made by the adviser.",454
3252,0001193125-18-143878,these transactions could adversely affect the ability of the portfolio to conduct its investment program.,105
3253,0001193125-18-143878,liquidity risk: lack of a ready market or restrictions on resale may limit the ability of the fund to sell a security at an advantageous time or price or at all.,161
3254,0001193125-18-143878,"illiquid securities may trade at a discount from comparable, more liquid investments and may be subject to wide fluctuations in market value.",141
3255,0001193125-18-143878,illiquidity of the fund's holdings may limit the ability of the fund to obtain cash to meet redemptions on a timely basis.,122
3256,0001193125-18-143878,"in addition, the fund, due to limitations on investments in any illiquid securities and/or the difficulty in purchasing and selling such investments, may be unable to achieve its desired level of exposure to a certain market or sector.",235
3257,0001193125-18-143878,"market risk: the fund's investments are subject to changes in general economic conditions, and general market fluctuations and the risks inherent in investment in securities markets.",182
3258,0001193125-18-143878,"investment markets can be volatile and prices of investments can change substantially due to various factors including, but not limited to, economic growth or recession, changes in interest rates, changes in the actual or perceived creditworthiness of issuers, and general market liquidity.",290
3259,0001193125-18-143878,the fund is subject to the risk that geopolitical events will disrupt securities markets and adversely affect global economies and markets.,139
3260,0001193125-18-143878,mid-capitalization securities risk: the securities of mid-capitalization companies may be more volatile and may involve more risk than the securities of larger companies.,170
3261,0001193125-18-143878,"these companies may have limited product lines, markets or financial resources, may lack the competitive strength of larger companies, and may depend on a few key employees.",173
3262,0001193125-18-143878,"in addition, these companies may have been recently organized and may have little or no track record of success.",112
3263,0001193125-18-143878,the securities of mid-sized companies may trade less frequently and in smaller volumes than more widely held securities.,120
3264,0001193125-18-143878,"some securities of mid-sized issuers may be illiquid or may be restricted as to resale, and their values may be volatile.",121
3265,0001193125-18-143878,"non-u.s. securities risk: non-u.s. securities (including depositary receipts) are subject to political, regulatory, and economic risks not present in domestic investments.",171
3266,0001193125-18-143878,"there may be less information publicly available about a non-u.s. entity than about a u.s. entity, and many non-u.s. entities are not subject to accounting, auditing, legal and financial report standards comparable 6 to those in the united states.",247
3267,0001193125-18-143878,"further, such entities and/or their securities may be subject to risks associated with currency controls; expropriation; changes in tax policy; greater market volatility; differing securities market structures; higher transaction costs; and various administrative difficulties, such as delays in clearing and settling portfolio transactions or in receiving payment of dividends.",378
3268,0001193125-18-143878,securities traded on foreign markets may be less liquid (harder to sell) than securities traded domestically.,109
3269,0001193125-18-143878,"foreign governments may impose restrictions on the repatriation of capital to the u.s. in addition, to the extent that the fund buys securities denominated in a foreign currency, there are special risks such as changes in currency exchange rates and the risk that a foreign government could regulate foreign exchange transactions.",330
3270,0001193125-18-143878,"in addition, to the extent investments are made in a limited number of countries, events in those countries will have a more significant impact on the fund.",156
3271,0001193125-18-143878,investments in depositary receipts may be less liquid and more volatile than the underlying shares in their primary trading market.,131
3272,0001193125-18-143878,"risk of investment in other pools: when the fund invests in another pooled investment vehicle, it is exposed to the risk that the other pool will not perform as expected and is exposed indirectly to all of the risks applicable to an investment in such other pool.",263
3273,0001193125-18-143878,"the investment policies of the other pool may not be the same as those of the fund; as a result, an investment in the other pool may be subject to additional or different risks than those to which the fund is typically subject.",227
3274,0001193125-18-143878,the fund bears its proportionate share of the fees and expenses of any pool in which it invests.,96
3275,0001193125-18-143878,"the adviser or an affiliate may serve as investment adviser to a pool in which the fund may invest, leading to potential conflicts of interest.",143
3276,0001193125-18-143878,it is possible that other clients of the adviser or its affiliates will purchase or sell interests in a pool sponsored or managed by the adviser or its affiliates at prices and at times more favorable than those at which the fund does so.,238
3277,0001193125-18-143878,"underlying fund risk: the fund currently intends to gain all of its investment exposure to, and track the performance of, the index constituents by investing in another pooled investment vehicle (an underlying fund).",216
3278,0001193125-18-143878,the ability of the fund to meet its investment objective with respect to the index constituents is directly related to the ability of the underlying fund to meet its investment objective.,187
3279,0001193125-18-143878,"the adviser serves as investment adviser to the underlying fund, leading to potential conflicts of interest.",108
3280,0001193125-18-143878,the fund will bear its pro rata portion of the expenses incurred by the underlying fund.,88
3281,0001193125-18-143878,substantial redemptions by other investors in an underlying fund may affect the underlying fund's investment program adversely and limit the ability of the underlying fund to achieve its objective.,197
3282,0001193125-18-143878,"valuation risk: some portfolio holdings, potentially a large portion of the fund's investment portfolio, may be valued on the basis of factors other than market quotations.",172
3283,0001193125-18-143878,this may occur more often in times of market turmoil or reduced liquidity.,74
3284,0001193125-18-143878,there are multiple methods that can be used to value a portfolio holding when market quotations are not readily available.,122
3285,0001193125-18-143878,the value established for any portfolio holding at a point in time might differ from what would be produced using a different methodology or if it had been priced using market quotations.,187
3286,0001193125-18-143878,"portfolio holdings that are valued using techniques other than market quotations, including fair valued securities, may be subject to greater fluctuation in their valuations from one day to the next than if market quotations were used.",235
3287,0001193125-18-143878,"in addition, there is no assurance that the fund could sell or close out a portfolio position for the value established for it at any time, and it is possible that the fund would incur a loss because a portfolio position is sold or closed out at a discount to the valuation established by the fund at that time.",311
3288,0001193125-18-143878,investors who purchase or redeem fund shares on days when the fund is holding fair-valued investments may receive fewer or more shares or lower or higher redemption proceeds than they would have received if the fund had not fair-valued the holding(s) or had used a different valuation methodology.,297
3289,0001193125-12-199860,of investing in the portfolio an investment in the portfolio is not a deposit of a bank and is not insured by the federal deposit insurance corporation or any other government agency.,183
3290,0001193125-12-199860,you may lose money by investing in the portfolio.,49
3291,0001193125-12-199860,performance may be affected by one or more of the following risks.,66
3292,0001193125-12-199860,"affiliated portfolio risk  in managing a portfolio that invests in underlying portfolios, the manager will have the authority to select and substitute the underlying portfolios.",177
3293,0001193125-12-199860,"the manager may be subject to potential conflicts of interest in allocating the portfolios assets among the various underlying portfolios because the fees payable to it by some of the underlying portfolios are higher than the fees payable by other underlying portfolios and because the manager is also responsible for managing, administering, and with respect to certain underlying portfolios, its affiliates are responsible for sub-advising, the underlying portfolios.",469
3294,0001193125-12-199860,"credit risk  the risk that the issuer or the guarantor of a fixed income security, or the counterparty to a derivatives contract, repurchase agreement, loan of portfolio securities or other transaction, is unable or unwilling, or is perceived (whether by market participants, ratings agencies, pricing services or otherwise) as unable or unwilling, to make timely principal and/or interest payments, or otherwise honor its obligations.",435
3295,0001193125-12-199860,"securities are subject to varying degrees of credit risk, which are often reflected in their credit ratings.",108
3296,0001193125-12-199860,"equity risk  in general, stocks and other equity security values fluctuate, and sometimes widely fluctuate, in response to changes in a companys financial condition as well as general market, economic, and political conditions.",227
3297,0001193125-12-199860,"foreign securities risk  investments in foreign securities, including depositary receipts, involve risks not associated with investing in u.s. securities.",154
3298,0001193125-12-199860,"foreign markets, particularly emerging markets, may be less liquid, more volatile and subject to less government supervision than domestic markets.",147
3299,0001193125-12-199860,security values also may be negatively affected by changes in the exchange rates between the u.s. dollar and foreign currencies.,128
3300,0001193125-12-199860,"differences between u.s. and foreign legal, political and economic systems, regulatory regimes and market practices also may impact security values and it may take more time to clear and settle trades involving foreign securities.",230
3301,0001193125-12-199860,interest rate risk  the risk that fixed income securities will decline in value because of changes in interest rates.,117
3302,0001193125-12-199860,"when interest rates decline, the value of a portfolios debt securities generally rises.",87
3303,0001193125-12-199860,"conversely, when interest rates rise, the value of a portfolios debt securities generally declines.",99
3304,0001193125-12-199860,a portfolio with a longer average duration will be more sensitive to changes in interest rates than a fund with a shorter average duration.,139
3305,0001193125-12-199860,investment grade securities risk  debt securities are rated by national bond ratings agencies.,94
3306,0001193125-12-199860,"securities rated bbb or higher by standard & poors ratings services (s&p) or fitch ratings, ltd. (fitch) or baa or higher by moodys investors service, inc. (moodys) are considered investment grade securities, but are somewhat riskier than higher rated obligations because they are regarded as having only an adequate capacity to pay principal and interest, and are considered to lack outstanding investment characteristics.",423
3307,0001193125-12-199860,"junk bonds or lower rated securities risk  bonds rated below investment grade (i.e., bb by s&p or fitch or ba by moodys) are speculative in nature and are subject to additional risk factors such as increased possibility of default, illiquidity of the security, and changes in value based on changes in interest rates.",317
3308,0001193125-12-199860,"junk bonds are usually issued by companies without long track records of sales and earnings, or by those companies with questionable credit strength.",149
3309,0001193125-12-199860,large-cap company risk  larger more established companies may be unable to respond quickly to new competitive challenges such as changes in technology and consumer tastes.,171
3310,0001193125-12-199860,"many larger companies also may not be able to attain the high growth rate of successful smaller companies, especially during extended periods of economic expansion.",164
3311,0001193125-12-199860,"market risk  the risk that the securities markets will move down, sometimes rapidly and unpredictably based on overall economic conditions and other factors.",157
3312,0001193125-12-199860,"mid-cap and small-cap company risk  a portfolios investments in mid- and small-cap companies may involve greater risks than investments in larger, more established issuers because they generally are more vulnerable than larger companies to adverse business or economic developments.",282
3313,0001193125-12-199860,"such companies generally have narrower product lines, more limited financial resources and more limited markets for their stock as compared acpa 2 with larger companies.",169
3314,0001193125-12-199860,"as a result, the value of such securities may be more volatile than the securities of larger companies, and the portfolio may experience difficulty in purchasing or selling such securities at the desired time and price or in the desired amount.",244
3315,0001193125-12-199860,"in general, these risks are greater for small-cap companies than for mid-cap companies.",87
3316,0001193125-12-199860,portfolio management risk  the risk that strategies used by the manager or the sub-advisers and their securities selections fail to produce the intended results.,161
